"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "Vue", "HTML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OnlineAllMap.vue", "Vue", 0, 0, 0, 0, 75, 0, 0, 0, 0, 9, 84
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\OnlineMap.vue", "Vue", 0, 0, 0, 0, 87, 0, 0, 0, 0, 9, 96
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowForward.vue", "Vue", 0, 0, 0, 0, 136, 0, 0, 0, 0, 10, 146
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowMessenger.vue", "Vue", 0, 0, 0, 0, 111, 0, 0, 0, 0, 12, 123
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowRelay.vue", "Vue", 0, 0, 0, 0, 141, 0, 0, 0, 0, 10, 151
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowSForward.vue", "Vue", 0, 0, 0, 0, 141, 0, 0, 0, 0, 10, 151
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\flow.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Config.vue", "Vue", 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Forward.vue", "Vue", 0, 0, 0, 0, 105, 0, 0, 0, 0, 4, 109
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\ForwardEdit.vue", "Vue", 0, 0, 0, 0, 318, 0, 0, 0, 0, 13, 331
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\SForwardEdit.vue", "Vue", 0, 0, 0, 0, 276, 0, 0, 0, 0, 10, 286
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\forward.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\sforward.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\groups\Groups.vue", "Vue", 0, 0, 0, 0, 157, 0, 0, 0, 3, 5, 165
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\groups\Index.vue", "Vue", 0, 0, 0, 0, 84, 0, 0, 0, 0, 3, 87
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\Oper.vue", "Vue", 0, 0, 0, 0, 187, 0, 0, 0, 0, 28, 215
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperAction.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperFirewall.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperFlow.vue", "Vue", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperRoutes.vue", "Vue", 0, 0, 0, 0, 63, 0, 0, 0, 0, 4, 67
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperTransport.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\OperWakeup.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\oper.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanEdit.vue", "Vue", 0, 0, 0, 0, 277, 0, 0, 0, 0, 9, 286
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanList.vue", "Vue", 0, 0, 0, 0, 66, 0, 0, 0, 0, 5, 71
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanShow.vue", "Vue", 0, 0, 0, 0, 90, 0, 0, 0, 0, 7, 97
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Config.vue", "Vue", 0, 0, 0, 0, 86, 0, 0, 0, 0, 4, 90
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\EditNode.vue", "Vue", 0, 0, 0, 0, 114, 0, 0, 0, 0, 4, 118
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Nodes.vue", "Vue", 0, 0, 0, 0, 221, 0, 0, 0, 0, 6, 227
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5.vue", "Vue", 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Edit.vue", "Vue", 0, 0, 0, 0, 87, 0, 0, 0, 0, 3, 90
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Lan.vue", "Vue", 0, 0, 0, 0, 146, 0, 0, 0, 0, 5, 151
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\Socks5Show.vue", "Vue", 0, 0, 0, 0, 138, 0, 0, 0, 0, 9, 147
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\socks5\socks5.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Api.vue", "Vue", 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Export.vue", "Vue", 0, 0, 0, 0, 264, 0, 0, 0, 0, 17, 281
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\Index.vue", "Vue", 0, 0, 0, 0, 70, 0, 0, 0, 1, 6, 77
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Flow.vue", "Vue", 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Index.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\status\server\Version.vue", "Vue", 0, 0, 0, 0, 151, 0, 0, 0, 0, 11, 162
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\stopwatch\Stopwatch.vue", "Vue", 0, 0, 0, 0, 73, 0, 0, 0, 0, 6, 79
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\sync\Ids.vue", "Vue", 0, 0, 0, 0, 54, 0, 0, 0, 0, 4, 58
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\sync\Index.vue", "Vue", 0, 0, 0, 0, 92, 0, 0, 0, 0, 3, 95
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\transport\Transport.vue", "Vue", 0, 0, 0, 0, 93, 0, 0, 0, 0, 3, 96
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\Tunnel.vue", "Vue", 0, 0, 0, 0, 153, 0, 0, 0, 0, 14, 167
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\TunnelEdit.vue", "Vue", 0, 0, 0, 0, 124, 0, 0, 0, 0, 6, 130
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\tunnel.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\Tuntap.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapEdit.vue", "Vue", 0, 0, 0, 0, 79, 0, 0, 0, 0, 5, 84
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapForward.vue", "Vue", 0, 0, 0, 0, 191, 0, 0, 0, 0, 10, 201
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapIP.vue", "Vue", 0, 0, 0, 0, 114, 0, 0, 0, 0, 7, 121
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapLan.vue", "Vue", 0, 0, 0, 0, 149, 0, 0, 0, 0, 5, 154
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapLease.vue", "Vue", 0, 0, 0, 0, 134, 0, 0, 0, 0, 6, 140
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\TuntapShow.vue", "Vue", 0, 0, 0, 0, 177, 0, 0, 0, 0, 12, 189
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tuntap\tuntap.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 11, 88
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\Config.vue", "Vue", 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\UpdaterBtn.vue", "Vue", 0, 0, 0, 0, 154, 0, 0, 0, 0, 8, 162
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\UpdaterConfirm.vue", "Vue", 0, 0, 0, 0, 98, 0, 0, 0, 0, 9, 107
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\updater\updater.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wakeup\Add.vue", "Vue", 0, 0, 0, 0, 216, 0, 0, 0, 0, 6, 222
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wakeup\Wakeup.vue", "Vue", 0, 0, 0, 0, 210, 0, 0, 0, 0, 9, 219
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Add.vue", "Vue", 0, 0, 0, 0, 146, 0, 0, 0, 0, 10, 156
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Index.vue", "Vue", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Manager.vue", "Vue", 0, 0, 0, 0, 145, 0, 0, 0, 0, 7, 152
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\Index.vue", "Vue", 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 88
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\action\Index.vue", "Vue", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 25
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\config\Config.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 0, 4, 98
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\config\Index.vue", "Vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\firewall\Index.vue", "Vue", 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Background.vue", "Vue", 0, 0, 0, 0, 80, 0, 0, 0, 0, 6, 86
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Index.vue", "Vue", 0, 0, 0, 0, 105, 0, 0, 0, 0, 15, 120
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Locale.vue", "Vue", 0, 0, 0, 0, 58, 0, 0, 0, 0, 5, 63
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Menu.vue", "Vue", 0, 0, 0, 0, 151, 0, 0, 0, 0, 7, 158
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Theme.vue", "Vue", 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Client.vue", "Vue", 0, 0, 0, 0, 168, 0, 0, 0, 0, 7, 175
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Common.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Copy.vue", "Vue", 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Index.vue", "Vue", 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Input.vue", "Vue", 0, 0, 0, 0, 87, 0, 0, 0, 0, 3, 90
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Save.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\install\Server.vue", "Vue", 0, 0, 0, 0, 178, 0, 0, 0, 0, 7, 185
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\list\Index.vue", "Vue", 0, 0, 0, 0, 230, 0, 0, 0, 0, 29, 259
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\list\Sort.vue", "Vue", 0, 0, 0, 0, 68, 0, 0, 0, 0, 7, 75
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\logger\Index.vue", "Vue", 0, 0, 0, 0, 163, 0, 0, 0, 0, 14, 177
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\logger\Setting.vue", "Vue", 0, 0, 0, 0, 127, 0, 0, 0, 0, 8, 135
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\transport\Index.vue", "Vue", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\wakeup\Index.vue", "Vue", 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\net\Head.vue", "Vue", 0, 0, 0, 0, 75, 0, 0, 0, 0, 7, 82
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\net\Index.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\net\List.vue", "Vue", 0, 0, 0, 0, 95, 0, 0, 0, 0, 10, 105
"c:\Users\snltty\Desktop\linker\src\linker.web\vue.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 2193, 15, 10030, 47, 11254, 23, 19, 393, 38, 1018, 25030