"filename", "language", "Vue", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\snltty\Desktop\linker\src\linker.web\src\App.vue", "Vue", 3, 0, 0, 0, -1, 2
"c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\relay.js", "JavaScript", 0, -3, 0, 0, -1, -4
"c:\Users\snltty\Desktop\linker\src\linker.web\src\apis\sforward.js", "JavaScript", 0, 12, 0, 0, 2, 14
"c:\Users\snltty\Desktop\linker\src\linker.web\src\assets\style.css", "PostCSS", 0, 0, 1, -1, -1, -1
"c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\en-us.js", "JavaScript", 0, 64, 0, 0, 1, 65
"c:\Users\snltty\Desktop\linker\src\linker.web\src\lang\zh-cn.js", "JavaScript", 0, 66, 0, 0, 1, 67
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Add.vue", "Vue", 7, 0, 0, 0, 0, 7
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Index.vue", "Vue", 1, 0, 0, 0, 0, 1
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\cdkey\Manager.vue", "Vue", 6, 0, 0, 0, 0, 6
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\device\Device.vue", "Vue", 2, 0, 0, 0, 0, 2
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\Index.vue", "Vue", 6, 0, 0, 0, -1, 5
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowForward.vue", "Vue", 13, 0, 0, 0, 1, 14
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowSocks5.vue", "Vue", 149, 0, 0, 0, 11, 160
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\ServerFlowTunnel.vue", "Vue", 157, 0, 0, 0, 11, 168
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\flow\flow.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Config.vue", "Vue", 21, 0, 0, 0, 1, 22
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\EditNode.vue", "Vue", 123, 0, 0, 0, 7, 130
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\Nodes.vue", "Vue", 156, 0, 0, 0, 4, 160
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\forward\SForwardEdit.vue", "Vue", 44, 0, 0, 0, 5, 49
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\oper\Oper.vue", "Vue", 4, 0, 0, 0, 0, 4
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\plan\PlanEdit.vue", "Vue", 2, 0, 0, 0, 0, 2
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Config.vue", "Vue", -3, 0, 0, 0, 0, -3
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\relay\Nodes.vue", "Vue", 1, 0, 0, 0, 0, 1
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\tunnel\Tunnel.vue", "Vue", -6, 0, 0, 0, -1, -7
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Add.vue", "Vue", 5, 0, 0, 0, 0, 5
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Index.vue", "Vue", 4, 0, 0, 0, 0, 4
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\components\wlist\Manager.vue", "Vue", 6, 0, 0, 0, 0, 6
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\Index.vue", "Vue", 2, 0, 0, 0, 0, 2
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\config\Config.vue", "Vue", 2, 0, 0, 7, 1, 10
"c:\Users\snltty\Desktop\linker\src\linker.web\src\views\layout\full\head\Index.vue", "Vue", -1, 0, 0, 0, 0, -1
"Total", "-", 704, 140, 1, 6, 40, 891